alias,mic
XNAS,XNAS
NASDAQ,XNAS
NASDAQ GS,XNAS
NASDAQ GLOBAL SELECT,XNAS
NASDAQ GLOBAL MARKET,XNAS
NASDAQ CAPITAL MARKET,XNAS
XNYS,XNYS
NYSE,XNYS
NEW YORK STOCK EXCHANGE,XNYS
ARCX,ARCX
NYSE ARCA,ARCX
ARCA,ARCX
XASE,XASE
NYSE AMERICAN,XASE
AMEX,XASE
BATS,BATS
CBOE BZX,BATS
IEXG,IEXG
IEX,IEXG
XTSE,XTSE
TSX,XTSE
TORONTO STOCK EXCHANGE,XTSE
XTSX,XTSX
TSX VENTURE,XTSX
XLON,XLON
LSE,XLON
LONDON STOCK EXCHANGE,XLON
XETR,XETR
XETRA,XETR
XFRA,XFRA
FRANKFURT,XFRA
XPAR,XPAR
EURONEXT PARIS,XPAR
XAMS,XAMS
EURONEXT AMSTERDAM,XAMS
XSWX,XSWX
SIX SWISS EXCHANGE,XSWX
XTKS,XTKS
TOKYO STOCK EXCHANGE,XTKS
XHKG,XHKG
HKEX,XHKG
HONG KONG STOCK EXCHANGE,XHKG
XASX,XASX
ASX,XASX
XNSE,XNSE
NSE,XNSE
XBOM,XBOM
BSE,XBOM
